G,1.2,-0.079188,0.07,-0.03,2.64
G,1.16,-0.077088,0.09,-0.03,2.57
G,1.1,-0.075889,0.11,-0.03,2.53
G,1.04,-0.074089,0.14,-0.03,2.47
G,0.99,-0.099174,0.16,-0.04,2.48
G,0.94,-0.098774,0.18,-0.04,2.47
G,0.9,-0.071389,0.2,-0.03,2.38
G,0.87,-0.094375,0.22,-0.04,2.36
G,0.84,-0.14032,0.24,-0.06,2.34
G,0.82,-0.14152,0.26,-0.06,2.36
G,0.82,-0.13912,0.25,-0.06,2.32
G,0.85,-0.13672,0.23,-0.06,2.28
G,0.85,-0.13312,0.23,-0.06,2.22
G,0.95,-0.19953,0.27,-0.09,2.22
G,1.02,-0.20223,0.31,-0.09,2.25
G,1.05,-0.22063,0.35,-0.1,2.21
G,1.11,-0.26217,0.36,-0.12,2.19
G,1.15,-0.24261,0.4,-0.11,2.21
G,1.19,-0.28001,0.43,-0.13,2.16
G,1.22,-0.30839,0.46,-0.14,2.21
G,1.24,-0.34731,0.47,-0.16,2.18
G,1.23,-0.34413,0.47,-0.16,2.16
G,1.2,-0.34891,0.47,-0.16,2.19
G,1.16,-0.36374,0.46,-0.17,2.15
G,1.15,-0.35359,0.47,-0.17,2.09
G,1.15,-0.3519,0.46,-0.17,2.08
G,1.16,-0.36164,0.46,-0.18,2.02
G,1.19,-0.39283,0.47,-0.19,2.08
G,1.24,-0.34344,0.47,-0.17,2.03
G,1.24,-0.36164,0.47,-0.18,2.02
G,1.32,-0.40131,0.47,-0.2,2.02
G,1.37,-0.37961,0.47,-0.19,2.01
G,1.39,-0.40926,0.47,-0.2,2.06
G,1.4,-0.4033,0.46,-0.2,2.03
G,1.37,-0.35627,0.42,-0.18,1.99
G,1.29,-0.33329,0.35,-0.17,1.97
G,1.25,-0.2929,0.33,-0.15,1.96
G,1.23,-0.28842,0.33,-0.15,1.93
G,1.18,-0.22386,0.3,-0.12,1.87
G,1.12,-0.20309,0.26,-0.11,1.85
G,1.05,-0.21189,0.23,-0.12,1.77
G,0.99,-0.18772,0.18,-0.11,1.71
G,0.94,-0.151,0.12,-0.09,1.68
